# All times in milliseconds (msec)
# Column 1 = input data size
# Column 2 = binsearch map insert
# Column 3 = array map insert
# Column 4 = hash map insert
# Column 5 = binsearch map erase
# Column 6 = array map erase
# Column 7 = hash map erase
# Column 8 = binsearch contains
# Column 9 = array map contains
# Column 10 = hash map contains
# Column 11 = binsearch find range
# Column 12 = array map find range
# Column 13 = hash map find range
# Column 14 = binsearch sorted keys
# Column 15 = array map sorted keys
# Column 16 = hash map sorted keys
# Column 17 = min chain length
# Column 18 = max chain length
# Column 19 = avg chain length
0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0 0 0.00
10000 0.28 0.00 0.00 0.24 0.11 0.03 0.06 0.06 0.04 0.28 1.33 0.05 0.18 1.26 67.70 0 2 0.61
20000 0.55 0.00 0.00 0.54 0.22 0.09 0.12 0.12 0.11 0.67 2.45 0.11 0.37 2.40 282.25 0 2 0.61
30000 0.71 0.00 0.00 0.63 0.33 0.14 0.17 0.17 0.13 0.80 3.72 0.14 0.52 3.63 900.00 0 3 0.92
40000 0.91 0.00 0.00 0.82 0.41 0.11 0.22 0.21 0.18 1.07 4.54 0.20 0.70 4.22 1099.58 0 2 0.61
50000 1.37 0.00 0.00 1.15 0.73 0.30 0.29 0.29 0.27 1.53 6.61 2.16 0.90 6.44 2322.83 0 2 0.76
60000 1.37 0.00 0.00 1.33 0.65 0.30 0.35 0.35 0.30 1.88 8.22 0.42 1.05 7.68 4103.98 0 3 0.92
70000 2.26 0.00 0.00 2.13 0.74 0.22 0.40 0.38 0.35 2.55 9.02 4.85 2.13 8.87 3919.25 0 2 0.53
80000 1.93 0.00 0.00 1.89 1.18 0.35 0.48 0.46 0.40 2.36 12.84 1.96 1.58 10.43 5832.80 0 2 0.61
90000 2.01 0.00 0.00 1.93 0.93 0.35 0.50 0.48 0.44 2.36 10.95 4.72 1.61 11.44 8401.78 0 2 0.69
100000 2.14 0.00 0.00 2.00 1.10 0.43 0.58 0.56 0.54 2.63 13.38 7.67 1.81 12.59 11534.71 0 2 0.76
