# All times in milliseconds (msec)
# Column 4 = avg time array quick sort with rand pivot, shuffled
# Column 5 = avg time array quick sort with rand pivot, sorted
# Column 6 = avg time array quick sort with rand pivot, reversed
# Column 1 = avg time array quick sort, shuffled
# Column 2 = avg time array quick sort, sorted
# Column 3 = avg time array quick sort, reversed
0 0.00 0.00 0.00 0.00 0.00 0.00
1000 1.00 0.00 2.00 1.00 0.00 2.00
2000 6.00 2.00 8.00 6.00 2.00 8.00
3000 12.00 4.00 18.00 13.00 4.00 18.00
4000 23.00 8.00 32.00 23.00 8.00 32.00
5000 36.00 13.00 50.00 36.00 13.00 50.00
6000 52.00 18.00 73.00 52.00 18.00 72.00
7000 69.00 25.00 99.00 71.00 25.00 100.00
8000 91.00 33.00 130.00 93.00 33.00 130.00
9000 116.00 43.00 164.00 115.00 42.00 165.00
10000 145.00 53.00 203.00 144.00 53.00 205.00
11000 176.00 65.00 248.00 174.00 63.00 246.00
12000 202.00 75.00 291.00 205.00 75.00 291.00
13000 239.00 88.00 342.00 237.00 88.00 342.00
14000 277.00 103.00 397.00 277.00 102.00 401.00
15000 321.00 120.00 464.00 320.00 119.00 464.00
16000 362.00 137.00 525.00 364.00 136.00 525.00
17000 416.00 155.00 597.00 411.00 155.00 598.00
18000 464.00 172.00 663.00 458.00 170.00 660.00
19000 506.00 190.00 741.00 507.00 190.00 738.00
20000 561.00 213.00 819.00 562.00 212.00 824.00
